stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
7310133,,"No.2-4 Forth Rd, Don",, -41.183317, 146.319969,,,0,,2
7310134,,"No.144 Steele St",, -41.179332, 146.344924,,,0,,2
7310135,,"No.666-668 Forth Rd (Outside Service Station)",, -41.189563, 146.249781,,,0,,2
7310136,,"No.724 Forth Rd (Opp. Emma St)",, -41.186070, 146.247355,,,0,,2
7310137,,"No.215 Stony Rise Rd",, -41.183605, 146.320162,,,0,,2
7310138,,"No.161 Steele St",, -41.179407, 146.344550,,,0,,2
7310139,,"No.725 Forth Rd (Corner Emma St)",, -41.185984, 146.247163,,,0,,2
7310140,,"Forth Rd Opposite Service Station",, -41.189669, 146.249709,,,0,,2
7310151,,"No.198 Steele St",, -41.178161, 146.336460,,,0,,2
7310152,,"No.199 Steele St",, -41.178417, 146.336682,,,0,,2
7310155,,"Miandetta Primary School",, -41.194786, 146.350566,,,0,,2
7310156,,"Torquay Rd/Canning Dr",, -41.190076, 146.382330,,,0,,2
7310158,,"Stop C, Devonport City Interchange, Rooke St",, -41.177359, 146.361175,,,0,place_intdev,2
7310299,,"49 Mary Street",, -41.180002, 146.377169,,,0,,2
7310300,,"51 John Street",, -41.186006, 146.376784,,,0,,2
7310301,,"19 Loane Avenue",, -41.187261, 146.379885,,,0,,2
7310302,,"130 Tarleton Street (Petuna Seafoods)",, -41.184550, 146.371781,,,0,,2
7310303,,"59 Torquay Road",, -41.188020, 146.378468,,,0,,2
7310304,,"10 Loane Ave",, -41.187420, 146.379844,,,0,,2
7310305,,"44 John Street",, -41.186148, 146.376295,,,0,,2
7310306,,"52 Mary Street",, -41.179934, 146.377028,,,0,,2
7310307,,"151 Tarleton Street",, -41.184461, 146.372024,,,0,,2
7315001,,"No.51 Eastlands Dr (Outside Motel)",, -41.158055, 146.188365,,,0,,2
7315002,,"Wongi Lane, Ulverstone Interchange Stop A",, -41.158463, 146.171858,,,0,place_intulv,2
7315003,,"Corner South Rd & Josephine St",, -41.152425, 146.157603,,,0,,2
